Index,Date,Open,High,Low,Close
Anti Poverty Index,2020-05-30,0.2490553,0.26554760000000005,0.238853,0.2527153
Anti Poverty Index,2020-05-29,0.24699100000000004,0.25940810000000003,0.24342200000000005,0.24917690000000006
Anti Poverty Index,2020-05-28,0.24915370000000003,0.2564609,0.24079560000000003,0.24695180000000003
Anti Poverty Index,2020-05-27,0.24832270000000004,0.259213,0.24187420000000004,0.2491346
Anti Poverty Index,2020-05-26,0.2536101,0.2661191,0.23871880000000004,0.24832520000000002
Anti Poverty Index,2020-05-25,0.22687060000000003,0.26703570000000004,0.22517890000000004,0.2546147
Anti Poverty Index,2020-05-24,0.266013,0.2722186,0.22552000000000005,0.22705310000000004
Anti Poverty Index,2020-05-23,0.2599615,0.2902608,0.2550967,0.2659322
Anti Poverty Index,2020-05-22,0.22901550000000004,0.30053490000000005,0.2217371,0.2599589
Anti Poverty Index,2020-05-21,0.1937457,0.23768540000000007,0.1863253,0.22901050000000003
Anti Poverty Index,2020-05-20,0.1947471,0.2002613,0.1875229,0.19371299999999997
Anti Poverty Index,2020-05-19,0.17896600000000001,0.19950690000000001,0.1712901,0.1947027
Anti Poverty Index,2020-05-18,0.1729484,0.18520520000000001,0.1674212,0.17894220000000002
Anti Poverty Index,2020-05-17,0.16899430000000001,0.1795895,0.1661609,0.17300110000000002
Anti Poverty Index,2020-05-16,0.17074640000000005,0.1738318,0.16510840000000002,0.168996
Anti Poverty Index,2020-05-15,0.1696032,0.18525130000000004,0.1668725,0.17085959999999994
Anti Poverty Index,2020-05-14,0.14999980000000002,0.17696019999999998,0.1465891,0.16958490000000004
Anti Poverty Index,2020-05-13,0.14573699999999998,0.15359629999999996,0.1430092,0.15022980000000002
Anti Poverty Index,2020-05-12,0.1390458,0.1514236,0.13588630000000002,0.14582420000000001
Anti Poverty Index,2020-05-11,0.13937210000000003,0.14490600000000003,0.1317074,0.13902479999999998
Anti Poverty Index,2020-05-10,0.1531057,0.1562952,0.13278220000000002,0.13932290000000003
Anti Poverty Index,2020-05-09,0.15769980000000003,0.1605624,0.1496346,0.15308070000000001
Anti Poverty Index,2020-05-08,0.147211,0.1667007,0.1467594,0.1578967
Anti Poverty Index,2020-05-07,0.1461208,0.1512707,0.1419173,0.1474411
Anti Poverty Index,2020-05-06,0.14884719999999999,0.15517760000000003,0.144448,0.1461646
Anti Poverty Index,2020-05-05,0.1489942,0.15288080000000004,0.1458767,0.14892140000000004
Anti Poverty Index,2020-05-04,0.14924729999999997,0.15383090000000002,0.141065,0.1489263
Anti Poverty Index,2020-05-03,0.15384940000000003,0.15635700000000002,0.14772980000000002,0.149231
Anti Poverty Index,2020-05-02,0.1553913,0.16226710000000003,0.1508055,0.1537079
Anti Poverty Index,2020-05-01,0.1492138,0.15971780000000002,0.14868830000000002,0.1553545
